"Gate Voltage","Gate Int. Voltage","Gate Current","Drain Voltage","Drain Int. Voltage","Drain Current","Source Voltage","Source Int. Voltage","Source Current"
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.5479892570e-20,0.0000000000e+00,0.0000000000e+00,-2.5213979410e-17
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,2.5000000000e-01,2.5000000000e-01,5.6835651370e-06,0.0000000000e+00,0.0000000000e+00,-5.6835651370e-06
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,5.0000000000e-01,5.0000000000e-01,1.1328306580e-05,0.0000000000e+00,0.0000000000e+00,-1.1328306580e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,7.5000000000e-01,7.5000000000e-01,1.6931527840e-05,0.0000000000e+00,0.0000000000e+00,-1.6931527840e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,2.2488646320e-05,0.0000000000e+00,0.0000000000e+00,-2.2488646320e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,1.2500000000e+00,1.2500000000e+00,2.7992557270e-05,0.0000000000e+00,0.0000000000e+00,-2.7992557270e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,1.5000000000e+00,1.5000000000e+00,3.3435466540e-05,0.0000000000e+00,0.0000000000e+00,-3.3435466540e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,1.7500000000e+00,1.7500000000e+00,3.8809171620e-05,0.0000000000e+00,0.0000000000e+00,-3.8809171620e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,2.0000000000e+00,2.0000000000e+00,4.4105620900e-05,0.0000000000e+00,0.0000000000e+00,-4.4105620900e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,2.2500000000e+00,2.2500000000e+00,4.9317210030e-05,0.0000000000e+00,0.0000000000e+00,-4.9317210030e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,2.5000000000e+00,2.5000000000e+00,5.4436958620e-05,0.0000000000e+00,0.0000000000e+00,-5.4436958620e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,2.7500000000e+00,2.7500000000e+00,5.9458457800e-05,0.0000000000e+00,0.0000000000e+00,-5.9458457800e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,6.4376155490e-05,0.0000000000e+00,0.0000000000e+00,-6.4376155490e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,3.2500000000e+00,3.2500000000e+00,6.9185678830e-05,0.0000000000e+00,0.0000000000e+00,-6.9185678830e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,3.5000000000e+00,3.5000000000e+00,7.3884287510e-05,0.0000000000e+00,0.0000000000e+00,-7.3884287510e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,3.7500000000e+00,3.7500000000e+00,7.8470305760e-05,0.0000000000e+00,0.0000000000e+00,-7.8470305760e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,4.0000000000e+00,4.0000000000e+00,8.2942372300e-05,0.0000000000e+00,0.0000000000e+00,-8.2942372300e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,4.2500000000e+00,4.2500000000e+00,8.7299331730e-05,0.0000000000e+00,0.0000000000e+00,-8.7299331730e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,4.5000000000e+00,4.5000000000e+00,9.1540424100e-05,0.0000000000e+00,0.0000000000e+00,-9.1540424100e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,4.7500000000e+00,4.7500000000e+00,9.5665409220e-05,0.0000000000e+00,0.0000000000e+00,-9.5665409220e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,5.0000000000e+00,5.0000000000e+00,9.9674661450e-05,0.0000000000e+00,0.0000000000e+00,-9.9674661450e-05
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,5.2500000000e+00,5.2500000000e+00,1.0356908550e-04,0.0000000000e+00,0.0000000000e+00,-1.0356908550e-04
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,5.5000000000e+00,5.5000000000e+00,1.0735043380e-04,0.0000000000e+00,0.0000000000e+00,-1.0735043380e-04
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,5.7500000000e+00,5.7500000000e+00,1.1102099550e-04,0.0000000000e+00,0.0000000000e+00,-1.1102099550e-04
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,6.0000000000e+00,6.0000000000e+00,1.1458348160e-04,0.0000000000e+00,0.0000000000e+00,-1.1458348160e-04
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,6.2500000000e+00,6.2500000000e+00,1.1804095060e-04,0.0000000000e+00,0.0000000000e+00,-1.1804095060e-04
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,6.5000000000e+00,6.5000000000e+00,1.2139667540e-04,0.0000000000e+00,0.0000000000e+00,-1.2139667540e-04
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,6.7500000000e+00,6.7500000000e+00,1.2465402960e-04,0.0000000000e+00,0.0000000000e+00,-1.2465402960e-04
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,7.0000000000e+00,7.0000000000e+00,1.2781635950e-04,0.0000000000e+00,0.0000000000e+00,-1.2781635950e-04
3.5000000000e+00,3.5000000000e+00,0.0000000000e+00,7.2500000000e+00,7.2500000000e+00,1.3088687450e-04,0.0000000000e+00,0.0000000000e+00,-1.3088687450e-04
