"Gate Voltage","Gate Int. Voltage","Gate Current","Drain Voltage","Drain Int. Voltage","Drain Current","Source Voltage","Source Int. Voltage","Source Current"
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.5047539730e-19,0.0000000000e+00,0.0000000000e+00,3.0415219340e-17
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,2.5000000000e-01,2.5000000000e-01,3.3130546730e-06,0.0000000000e+00,0.0000000000e+00,-3.3130546730e-06
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,5.0000000000e-01,5.0000000000e-01,6.5764509730e-06,0.0000000000e+00,0.0000000000e+00,-6.5764509730e-06
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,7.5000000000e-01,7.5000000000e-01,9.7506280510e-06,0.0000000000e+00,0.0000000000e+00,-9.7506280510e-06
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.2825889760e-05,0.0000000000e+00,0.0000000000e+00,-1.2825889760e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.2500000000e+00,1.2500000000e+00,1.5807389600e-05,0.0000000000e+00,0.0000000000e+00,-1.5807389600e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.5000000000e+00,1.5000000000e+00,1.8700969190e-05,0.0000000000e+00,0.0000000000e+00,-1.8700969190e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.7500000000e+00,1.7500000000e+00,2.1509438340e-05,0.0000000000e+00,0.0000000000e+00,-2.1509438340e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,2.0000000000e+00,2.0000000000e+00,2.4235111660e-05,0.0000000000e+00,0.0000000000e+00,-2.4235111660e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,2.2500000000e+00,2.2500000000e+00,2.6877793180e-05,0.0000000000e+00,0.0000000000e+00,-2.6877793180e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,2.5000000000e+00,2.5000000000e+00,2.9438033390e-05,0.0000000000e+00,0.0000000000e+00,-2.9438033390e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,2.7500000000e+00,2.7500000000e+00,3.1917433060e-05,0.0000000000e+00,0.0000000000e+00,-3.1917433060e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,3.4315979010e-05,0.0000000000e+00,0.0000000000e+00,-3.4315979010e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,3.2500000000e+00,3.2500000000e+00,3.6632064390e-05,0.0000000000e+00,0.0000000000e+00,-3.6632064390e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,3.5000000000e+00,3.5000000000e+00,3.8864117540e-05,0.0000000000e+00,0.0000000000e+00,-3.8864117540e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,3.7500000000e+00,3.7500000000e+00,4.1010488430e-05,0.0000000000e+00,0.0000000000e+00,-4.1010488430e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,4.0000000000e+00,4.0000000000e+00,4.3070052240e-05,0.0000000000e+00,0.0000000000e+00,-4.3070052240e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,4.2500000000e+00,4.2500000000e+00,4.5043545230e-05,0.0000000000e+00,0.0000000000e+00,-4.5043545230e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,4.5000000000e+00,4.5000000000e+00,4.6932724680e-05,0.0000000000e+00,0.0000000000e+00,-4.6932724680e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,4.7500000000e+00,4.7500000000e+00,4.8739496420e-05,0.0000000000e+00,0.0000000000e+00,-4.8739496420e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,5.0000000000e+00,5.0000000000e+00,5.0466741050e-05,0.0000000000e+00,0.0000000000e+00,-5.0466741050e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,5.2500000000e+00,5.2500000000e+00,5.2118190650e-05,0.0000000000e+00,0.0000000000e+00,-5.2118190650e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,5.5000000000e+00,5.5000000000e+00,5.3696195170e-05,0.0000000000e+00,0.0000000000e+00,-5.3696195170e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,5.7500000000e+00,5.7500000000e+00,5.5203994120e-05,0.0000000000e+00,0.0000000000e+00,-5.5203994120e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,6.0000000000e+00,6.0000000000e+00,5.6643509560e-05,0.0000000000e+00,0.0000000000e+00,-5.6643509560e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,6.2500000000e+00,6.2500000000e+00,5.8017197930e-05,0.0000000000e+00,0.0000000000e+00,-5.8017197930e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,6.5000000000e+00,6.5000000000e+00,5.9327615630e-05,0.0000000000e+00,0.0000000000e+00,-5.9327615630e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,6.7500000000e+00,6.7500000000e+00,6.0574255660e-05,0.0000000000e+00,0.0000000000e+00,-6.0574255660e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,7.0000000000e+00,7.0000000000e+00,6.1760987210e-05,0.0000000000e+00,0.0000000000e+00,-6.1760987210e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,7.2500000000e+00,7.2500000000e+00,6.2891015580e-05,0.0000000000e+00,0.0000000000e+00,-6.2891015580e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,7.5000000000e+00,7.5000000000e+00,6.3967228190e-05,0.0000000000e+00,0.0000000000e+00,-6.3967228190e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,7.7500000000e+00,7.7500000000e+00,6.4992563410e-05,0.0000000000e+00,0.0000000000e+00,-6.4992563410e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,8.0000000000e+00,8.0000000000e+00,6.5970068360e-05,0.0000000000e+00,0.0000000000e+00,-6.5970068360e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,8.2500000000e+00,8.2500000000e+00,6.6902538050e-05,0.0000000000e+00,0.0000000000e+00,-6.6902538050e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,8.5000000000e+00,8.5000000000e+00,6.7795116890e-05,0.0000000000e+00,0.0000000000e+00,-6.7795116890e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,8.7500000000e+00,8.7500000000e+00,6.8649002830e-05,0.0000000000e+00,0.0000000000e+00,-6.8649002830e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,9.0000000000e+00,9.0000000000e+00,6.9463044610e-05,0.0000000000e+00,0.0000000000e+00,-6.9463044610e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,9.2500000000e+00,9.2500000000e+00,7.0243043150e-05,0.0000000000e+00,0.0000000000e+00,-7.0243043150e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,9.5000000000e+00,9.5000000000e+00,7.0993116610e-05,0.0000000000e+00,0.0000000000e+00,-7.0993116610e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,9.7500000000e+00,9.7500000000e+00,7.1718468200e-05,0.0000000000e+00,0.0000000000e+00,-7.1718468200e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.0000000000e+01,1.0000000000e+01,7.2409080380e-05,0.0000000000e+00,0.0000000000e+00,-7.2409080380e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.0250000000e+01,1.0250000000e+01,7.3072660490e-05,0.0000000000e+00,0.0000000000e+00,-7.3072660490e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.0500000000e+01,1.0500000000e+01,7.3711880140e-05,0.0000000000e+00,0.0000000000e+00,-7.3711880140e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.0750000000e+01,1.0750000000e+01,7.4328657740e-05,0.0000000000e+00,0.0000000000e+00,-7.4328657740e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.1000000000e+01,1.1000000000e+01,7.4923859020e-05,0.0000000000e+00,0.0000000000e+00,-7.4923859020e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.1250000000e+01,1.1250000000e+01,7.5498887610e-05,0.0000000000e+00,0.0000000000e+00,-7.5498887610e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.1500000000e+01,1.1500000000e+01,7.6055619190e-05,0.0000000000e+00,0.0000000000e+00,-7.6055619190e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.1750000000e+01,1.1750000000e+01,7.6595654360e-05,0.0000000000e+00,0.0000000000e+00,-7.6595654360e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.2000000000e+01,1.2000000000e+01,7.7120642330e-05,0.0000000000e+00,0.0000000000e+00,-7.7120642330e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.2250000000e+01,1.2250000000e+01,7.7632388920e-05,0.0000000000e+00,0.0000000000e+00,-7.7632388920e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.2500000000e+01,1.2500000000e+01,7.8132163700e-05,0.0000000000e+00,0.0000000000e+00,-7.8132163700e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.2750000000e+01,1.2750000000e+01,7.8620444280e-05,0.0000000000e+00,0.0000000000e+00,-7.8620444280e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.3000000000e+01,1.3000000000e+01,7.9097713460e-05,0.0000000000e+00,0.0000000000e+00,-7.9097713460e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.3250000000e+01,1.3250000000e+01,7.9564843790e-05,0.0000000000e+00,0.0000000000e+00,-7.9564843790e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.3500000000e+01,1.3500000000e+01,8.0021112050e-05,0.0000000000e+00,0.0000000000e+00,-8.0021112050e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.3750000000e+01,1.3750000000e+01,8.0465622660e-05,0.0000000000e+00,0.0000000000e+00,-8.0465622660e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.4000000000e+01,1.4000000000e+01,8.0899905830e-05,0.0000000000e+00,0.0000000000e+00,-8.0899905830e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.4250000000e+01,1.4250000000e+01,8.1324870520e-05,0.0000000000e+00,0.0000000000e+00,-8.1324870520e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.4500000000e+01,1.4500000000e+01,8.1740717950e-05,0.0000000000e+00,0.0000000000e+00,-8.1740717950e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.4750000000e+01,1.4750000000e+01,8.2147738320e-05,0.0000000000e+00,0.0000000000e+00,-8.2147738320e-05
5.5000000000e+00,5.5000000000e+00,0.0000000000e+00,1.5000000000e+01,1.5000000000e+01,8.2546550270e-05,0.0000000000e+00,0.0000000000e+00,-8.2546550270e-05
1.5000000000e+00,1.5000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.8520493550e-19,0.0000000000e+00,0.0000000000e+00,2.9879083690e-17
2.2500000000e+00,2.2500000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-8.1588077310e-20,0.0000000000e+00,0.0000000000e+00,2.9199862940e-17
3.0000000000e+00,3.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.6505203940e-20,0.0000000000e+00,0.0000000000e+00,2.9755375770e-17
3.7500000000e+00,3.7500000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.1003469500e-20,0.0000000000e+00,0.0000000000e+00,3.0178817890e-17
4.5000000000e+00,4.5000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.2110368950e-19,0.0000000000e+00,0.0000000000e+00,3.0085501520e-17
5.2500000000e+00,5.2500000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.5980342090e-19,0.0000000000e+00,0.0000000000e+00,3.0153321610e-17
6.0000000000e+00,6.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.9896569810e-19,0.0000000000e+00,0.0000000000e+00,3.0180755600e-17
