"Gate Voltage","Gate Int. Voltage","Gate Current","Drain Voltage","Drain Int. Voltage","Drain Current","Source Voltage","Source Int. Voltage","Source Current"
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.7448927490e-19,0.0000000000e+00,0.0000000000e+00,2.5831601160e-17
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,2.5000000000e-01,2.5000000000e-01,1.1144692620e-14,0.0000000000e+00,0.0000000000e+00,-1.1145775880e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,5.0000000000e-01,5.0000000000e-01,1.9816362210e-14,0.0000000000e+00,0.0000000000e+00,-1.9781622160e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,7.5000000000e-01,7.5000000000e-01,2.8047199180e-14,0.0000000000e+00,0.0000000000e+00,-2.8008960410e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,3.6469262280e-14,0.0000000000e+00,0.0000000000e+00,-3.6479676920e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.2500000000e+00,1.2500000000e+00,4.4294545320e-14,0.0000000000e+00,0.0000000000e+00,-4.4279583800e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.5000000000e+00,1.5000000000e+00,5.1406659640e-14,0.0000000000e+00,0.0000000000e+00,-5.1414358360e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.7500000000e+00,1.7500000000e+00,5.8714520880e-14,0.0000000000e+00,0.0000000000e+00,-5.8677185310e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,2.0000000000e+00,2.0000000000e+00,6.8970762280e-14,0.0000000000e+00,0.0000000000e+00,-6.8955877690e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,2.2500000000e+00,2.2500000000e+00,7.7934351560e-14,0.0000000000e+00,0.0000000000e+00,-7.7955943760e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,2.5000000000e+00,2.5000000000e+00,8.8676960710e-14,0.0000000000e+00,0.0000000000e+00,-8.8686821850e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,2.7500000000e+00,2.7500000000e+00,9.7905836880e-14,0.0000000000e+00,0.0000000000e+00,-9.7936799540e-14
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,3.0000000000e+00,3.0000000000e+00,1.0649692440e-13,0.0000000000e+00,0.0000000000e+00,-1.0646282160e-13
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,3.2500000000e+00,3.2500000000e+00,1.1465813240e-13,0.0000000000e+00,0.0000000000e+00,-1.1462609490e-13
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,3.5000000000e+00,3.5000000000e+00,1.2247131270e-13,0.0000000000e+00,0.0000000000e+00,-1.2249093410e-13
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,3.7500000000e+00,3.7500000000e+00,1.3002040700e-13,0.0000000000e+00,0.0000000000e+00,-1.3002489690e-13
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.0000000000e+00,4.0000000000e+00,1.3733193080e-13,0.0000000000e+00,0.0000000000e+00,-1.3735848500e-13
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.2500000000e+00,4.2500000000e+00,1.4445739610e-13,0.0000000000e+00,0.0000000000e+00,-1.4444889070e-13
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.5000000000e+00,4.5000000000e+00,1.5141605390e-13,0.0000000000e+00,0.0000000000e+00,-1.5141199460e-13
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.7500000000e+00,4.7500000000e+00,1.5822754380e-13,0.0000000000e+00,0.0000000000e+00,-1.5823247010e-13
